"transactionID","accountID","transactionAmountUSD","transactionCurrencyCode","transactionDate","transactionScenario","transactionType","cardType","paymentBillingState","paymentBillingCountryCode","merchantIndustry"
"C1FE18CF-A2CB-4FCB-B945-842A790EEDCB","A914800904913093",625.1193,"AUD",2013-08-29,"A","P","VISA","New South Wales","AU","BANK"
"5BEFF747-B744-4693-B195-A1A5CB38CF8C","A1970327009981630",754.727566,"EUR",2013-07-10,"A","P","MC",NA,"AT","APPARELS"
"6371DE6B-34BD-4335-9905-79C8DE6DC692","A1829582107886620",99.99,"USD",2013-09-25,"A","P","VISA","OR","US","PETROL"
"77602332-C6B3-4F85-8AFC-7F09FDB4BBC7","A844427800002354",82.607416,"CAD",2013-07-29,"A","P",NA,NA,"CA","BANK"
"68F0D46D-3847-45D0-803E-B11ECCC482E0","A294356862080368",139.99,"USD",2013-04-09,"A","P","VISA","NH","US","BANK"
"23C00DED-70D4-4EC1-907E-9D811135EC22","A844428168513771",173.223251,"GBP",2013-09-21,"A","P","VISA",NA,"GB","BANK"
"98790801-BC93-4C67-A4BB-769A36ED919B","A985156158534121",181.953,"EUR",2013-04-02,"A","P","VISA","Roma","IT","BANK"
"EDE8592E-3EFC-4ED5-9A4A-B70EB84B360A","A1055520807641170",149.96,"USD",2013-04-16,"A","P","MC","MN","US","SUPERMKT"
"D6AF5E02-D0EC-482A-A207-1D5B3B88C008","A985157110256858",106.4762,"EUR",2013-09-09,"A","P",NA,NA,"DE","BANK"
"8C6E1BEF-49F2-4FBA-8D7B-7C96F5B00F6E","A914800983636333",192.800787,"PLN",2013-04-27,"A","P","VISA","Mazowieckie","PL","BANK"
"6E9E534D-DC7A-464C-9BA4-C7B2F394A05B","A914801000563990",187.3442,"EUR",2013-09-23,"A","P","AMEX",NA,"FR","GROCERIES"
"2B139050-56ED-4EA1-91AD-D6E301C972E5","A844427307755054",120.10945,"BRL",2013-05-07,"A","P","VISA","RJ","BR","BANK"
"06190B0C-8564-4EA5-8BD0-356DD60832E9","A985157008010121",160.49,"USD",2013-05-19,"A","P","VISA","GA","US","BANK"
"6A9D57A6-E056-46C0-ADE7-B9635010517D","A844428108768298",79.99,"USD",2013-08-22,"A","P","VISA","FL","US","TRANSPORTATION"
