"account_id","marital_status","sex","education","bad_flag","amount_6_bucket","pur_6_bucket","bank_6_bucket","entmnt_6_bucket","jewellery_6_bucket","medical_6_bucket","others_6_bucket","petrol_6_bucket","restaurant_6_bucket","supermarket_6_bucket","telecom_6_bucket","travel_6_bucket","utility_6_bucket","avg_pur_amt_6_bucket","max_pur_amt_6_bucket","min_pur_amt_6_bucket","avg_interval_pur_6_bucket","max_interval_pur_6_bucket","min_interval_pur_6_bucket","credit_limit_bucket","age_bucket","income_bucket"
"a_1055520426150860","married","male","master","no","3","10","6","10","10","10","10","10","10","11","10","10","10","3","3","3","10","10","10","8","10","4"
"a_1055520426812620","single","male","undergraduate","no","3","10","11","10","10","10","10","10","10","10","10","10","10","3","3","3","10","10","10","6","6","1"
"a_1055520427013550","married","male","undergraduate","no","3","10","11","10","10","10","10","10","10","10","10","10","10","3","3","3","10","10","10","4","8","1"
"a_1055520427179270","single","male","polytechnics","no","10","10","6","10","10","10","10","10","10","10","10","10","11","10","10","10","10","10","10","4","4","1"
"a_1055520427448830","married","female","undergraduate","no","9","10","11","10","10","10","10","10","10","10","10","10","10","9","9","9","10","10","10","1","8","4"
"a_1055520427992050","single","male","undergraduate","no","6","10","6","10","10","10","10","10","10","10","10","10","11","6","6","6","10","10","10","1","4","1"
"a_1055520428349850","single","male","polytechnics","no","10","10","11","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","2","1"
"a_1055520428597630","single","female","undergraduate","no","10","10","6","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","3","6","4"
"a_1055520428955430","single","male","master","no","10","10","11","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","2","9","4"
"a_1055520429453880","single","male","master","no","7","10","6","10","10","10","10","10","10","10","11","10","10","7","7","7","10","10","10","4","2","1"
"a_1055520429586760","married","female","polytechnics","no","6","10","6","10","10","10","10","10","10","10","10","10","10","6","6","6","10","10","10","3","10","1"
"a_1055520431255200","single","male","master","no","2","10","6","10","10","10","10","10","10","10","10","10","10","2","2","2","10","10","10","10","2","1"
"a_1055520431264890","married","male","undergraduate","no","6","10","6","10","10","10","10","10","10","10","10","10","10","6","6","6","10","10","10","2","4","1"
"a_1055520431308370","single","male","middle_school","no","8","10","11","10","10","10","10","10","10","10","10","10","10","8","8","8","10","10","10","10","3","4"
"a_1055520432290260","single","male","undergraduate","no","1","10","6","10","10","10","10","11","10","10","10","10","10","1","1","1","10","10","10","5","2","1"
"a_1055520435648050","married","male","master","no","8","10","6","10","10","10","10","10","10","10","10","10","10","8","8","8","10","10","10","9","4","1"
"a_1055520435807740","single","male","master","no","9","10","11","10","10","10","10","10","10","10","10","10","10","9","9","9","10","10","10","1","6","1"
"a_1055520435960820","single","male","undergraduate","no","1","10","6","10","10","10","10","10","10","10","10","10","10","1","1","1","10","10","10","6","1","1"
"a_1055520436128800","married","male","master","no","7","10","11","10","10","10","10","10","10","10","10","10","10","7","7","7","10","10","10","1","7","4"
"a_1055520436524040","married","male","master","no","2","10","6","10","10","10","10","10","10","10","10","10","10","2","2","2","10","10","10","4","6","4"
"a_1055520438320040","married","male","undergraduate","no","3","10","11","10","10","10","10","10","10","10","10","10","10","3","3","3","10","10","10","1","9","4"
"a_1055520438921310","married","male","undergraduate","no","1","10","6","10","10","10","10","10","10","10","10","11","10","1","1","1","10","10","10","8","4","1"
"a_1055520439924740","single","male","polytechnics","no","1","10","6","10","10","10","10","10","10","10","11","10","10","1","1","1","10","10","10","4","4","4"
"a_1055520440082450","married","female","undergraduate","no","1","10","11","10","10","10","10","10","10","10","10","10","10","1","1","1","10","10","10","5","6","4"
"a_1055520441046970","married","male","undergraduate","no","2","10","6","10","10","10","10","10","10","10","10","10","10","2","2","2","10","10","10","10","7","1"
"a_1055520441201200","single","female","undergraduate","yes","9","10","6","10","10","10","10","11","10","10","10","10","10","9","9","9","10","10","10","1","5","1"
"a_1055520441205400","married","male","polytechnics","no","1","10","6","10","10","10","10","10","10","10","10","10","10","1","1","1","10","10","10","5","6","1"
"a_1055520442014050","married","male","undergraduate","no","8","10","11","10","10","10","10","10","10","10","10","10","10","8","8","8","10","10","10","1","8","1"
"a_1055520442263300","married","female","undergraduate","no","5","10","11","10","10","10","10","10","10","10","10","10","10","5","5","5","10","10","10","10","9","1"
