"accountID","creditLimit","maritalStatus","sex","education","income","accountSetupStatus","badFlag","age"
"A914800904913093",2.17975261586532,"Single","Male","Undergraduate",-12.5995932053775,"A","NO",28
"A1970327009981630",-5.93037156594731,"Single","Male","Undergraduate",2.7995246835053,"A","NO",30
"A1829582107886620",-8.32925053789001,"Single","Male","Undergraduate",-2.03557576052845,"A","NO",34
"A844427800002354",4.28919847104512,"Married","Male","Undergraduate",-6.75218530930579,"A","NO",40
"A294356862080368",1.24934260275029,"Married","Male","Master",-4.23803724348545,"A","NO",41
"A844428168513771",-0.551000164932571,"Single","Male","Undergraduate",19.7062296327204,"A","NO",32
"A985156158534121",8.14197777255159,"Married","Male","Master",-13.4140963293612,"A","NO",43
"A1055520807641170",1.21842452465929,"Married","Male","Master",13.38533221744,"A","NO",36
"A985157110256858",5.16835612504464,"Single","Female","Master",-5.63659514300525,"A","NO",31
"A914800983636333",3.08188457378745,"Single","Male","Undergraduate",-10.0797910336405,"A","NO",30
"A914801000563990",5.40877877640072,"Single","Male","Master",10.8354871440679,"A","NO",33
"A844427307755054",-3.37997343391646,"Married","Male","Undergraduate",15.9677111264318,"A","NO",51
"A985157008010121",1.66119614139199,"Married","Male","Master",-1.97286227717996,"A","NO",49
"A844428108768298",8.05181649931986,"Married","Male","Master",-6.65402277372777,"A","NO",35
"A1688852120303970",3.35837367097847,"Single","Male","Undergraduate",-19.4774155225605,"A","NO",31
"A1055520950299130",-1.40066431577038,"Single","Male","Undergraduate",13.4282901510596,"A","NO",31
"A985156993009044",1.31195435202215,"Married","Male","High School",18.897163560614,"A","NO",45
"A1899946055599530",9.42842856809404,"Single","Female","Undergraduate",-10.665933759883,"A","NO",30
"A914800968120218",-2.91075282796752,"Married","Male","Master",-1.04958911426365,"A","NO",38
"A914801134618801",0.678731175736524,"Married","Male","Polytechnics",-6.65909007191658,"A","NO",40
"A914801133807122",0.0890401215376334,"Single","Male","Undergraduate",0.578692415729165,"A","NO",33
"A914800983268382",0.00989899909216913,"Single","Male","Undergraduate",-6.39471905305982,"A","NO",29
"A985156621392593",12.9609583441745,"Single","Male","Undergraduate",-11.3331143464893,"A","NO",33
"A1055520561516490",6.18023490157071,"Married","Male","Undergraduate",-2.51951683312654,"A","NO",38
"A1899946369389890",5.52882168908883,"Married","Male","Undergraduate",-16.6157087124884,"A","NO",40
"A914800173092899",-1.23099129850231,"Single","Female","Master",9.14949493482709,"A","NO",30
"A1055520956823200",10.3306157867517,"Married","Male","High School",-6.70870603062212,"A","NO",40
"A1055521353689290",8.29802039034758,"Married","Female","Polytechnics",11.8820507172495,"A","NO",37
"A1055520541100340",7.25141540514864,"Single","Male","Undergraduate",0.706603499129415,"A","NO",30
"A985156720294760",-0.770231778295711,"Married","Male","Undergraduate",6.04859959334135,"A","NO",34
"A1055521395917380",3.64939169161953,"Married","Male","Polytechnics",6.56255226582289,"A","NO",46
"A313048562212108",5.43145261155348,"Single","Male","Undergraduate",-12.9771348647773,"A","NO",35
"A844428014745891",2.88824364562519,"Single","Female","Undergraduate",16.6419700626284,"A","NO",27
"A985156948467636",7.74952657133434,"Single","Female","Undergraduate",32908.3079855163,"A","NO",34
"A844427986647990",-6.27943797683809,"Married","Male","Master",-12.3632683604956,"A","NO",36
"A1055521488800930",3.31149740554206,"Married","Male","Undergraduate",14.59676284343,"A","NO",45
"A985156151014719",-9.19054790880065,"Married","Male","Master",6.06526849791408,"A","NO",50
"A1055521425848450",8.81970337252133,"Married","Male","Undergraduate",12.0594253297895,"A","NO",43
"A1688852272474830",-0.899271458304487,"Single","Male","Master",-13.9696083776653,"A","NO",33
"A1759221031294270",-7.27190169403423,"Married","Male","Polytechnics",-4.08622887916863,"A","NO",40
"A985156395701153",3.25109969175421,"Single","Female","Undergraduate",12.4292665161192,"A","NO",39
"A914801129813095",-2.88802879802696,"Single","Male","Master",-8.63897594623268,"A","Yes",35
"A309681306428288",6.04936834773421,"Single","Male","Undergraduate",17.2980630584061,"A","NO",32
"A844427125785457",4.70903163978458,"Married","Male","Undergraduate",13.9201912283897,"A","NO",41
"A1055520952856140",-3.29947387688234,"Single","Male","Undergraduate",7.9158278927207,"A","NO",29
"A1899946973840320",3.00154558350239,"Single","Male","Master",14.8586372751743,"A","NO",30
