continue_drop,student_id,gender,caste,mathematics_marks,english_marks,science_marks,science_teacher,languages_teacher,guardian,internet,school_id,total_students,total_toilets,establishment_year
continue,s00001,F,SC,0.409,0.514,0.409,6,0,mother,TRUE,00310,262,28,1985
continue,s00002,F,BC,0.29,0.512,0.29,4,7,mother,TRUE,00328,356,14,1943
continue,s00003,F,OC,0.602,0.666,0.602,4,2,mother,FALSE,00322,179,8,1955
continue,s00004,F,BC,0.378,0.526,0.378,8,7,mother,TRUE,00305,354,86,1986
continue,s00005,F,OC,0.536,0.614,0.536,9,4,other,TRUE,00360,273,2,1995
continue,s00006,F,BC,0.594,0.519,0.594,4,8,mother,TRUE,00333,335,43,1916
continue,s00007,F,OC,0.177,0.525,0.177,6,7,father,TRUE,00351,251,100,1924
continue,s00008,F,OC,0.48,0.457,0.48,2,9,mother,TRUE,00372,99,14,1956
continue,s00009,F,OC,0.821,0.728,0.821,2,2,father,TRUE,00389,299,1,1921
continue,s00010,F,BC,0.418,0.322,0.418,8,10,father,FALSE,00342,295,18,1907
continue,s00011,F,OC,0.757,0.664,0.757,8,6,mother,TRUE,00324,170,31,1949
continue,s00012,F,OC,0.133,0.566,0.133,2,2,mother,TRUE,00338,145,2,1929
continue,s00013,F,SC,0.566,0.495,0.566,0,4,father,TRUE,00366,62,28,1897
continue,s00014,F,BC,0.413,0.598,0.413,1,6,father,TRUE,00301,49,14,1844
continue,s00015,F,BC,0.461,0.524,0.461,0,3,mother,TRUE,00392,469,14,1905
continue,s00016,F,OC,0.742,0.672,0.742,3,12,mother,TRUE,00383,132,14,1996
drop,s00017,F,BC,0.503,0.523,0.503,9,0,father,TRUE,00362,397,5,1950
continue,s00018,F,OC,0.32,0.408,0.32,9,6,mother,TRUE,00300,198,28,1913
continue,s00019,F,SC,0.306,0.485,0.306,5,6,father,FALSE,00393,111,10,2006
continue,s00020,F,BC,0.107,0.507,0.107,7,5,father,TRUE,00392,469,14,1905
continue,s00021,F,ST,0.38,0.426,0.38,9,4,mother,TRUE,00353,359,8,1986
continue,s00022,F,BC,0.746,0.669,0.746,3,6,mother,TRUE,00341,430,44,1959
drop,s00023,F,ST,0.681,0.758,0.681,5,3,mother,TRUE,00386,220,30,1847
continue,s00024,F,SC,0.895,0.615,0.895,4,0,mother,TRUE,00365,444,14,1970
continue,s00025,F,BC,0.132,0.759,0.132,4,0,mother,TRUE,00318,54,17,1867
continue,s00026,F,BC,0.456,0.46,0.456,2,12,mother,TRUE,00353,359,8,1986
