"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Feedback"
49,"No","Travel_Frequently",279,"Research & Development",8,"Others","Life Sciences",1,3,"Male",61,2,2,"Research Scientist",2,"Married",5130,24907,1,"No",23,4,4,80,1,10,3,3,10,7,1,7,"People are willing to share knowledge which is not the norm in this industry This is the first place I have worked where the people are great about that Also I get to work on cool projects that no one else in the world works on"
33,"No","Travel_Frequently",1392,"Research & Development",3,"Master","Life Sciences",1,4,"Female",56,3,1,"Research Scientist",3,"Married",2909,23159,1,"Yes",11,3,3,80,0,8,3,3,8,7,3,0,"To repeat what I wrote before the people I work for and work with here are very smart and confident people"
27,"No","Travel_Rarely",591,"Research & Development",2,"Others","Medical",1,1,"Male",40,3,1,"Laboratory Technician",2,"Married",3468,16632,9,"No",12,3,4,80,1,6,3,3,2,2,2,2,"The variety of different projects and the speed of completion I am truly very satisfied  pleased there is an endless list of pros"
32,"No","Travel_Frequently",1005,"Research & Development",2,"College","Life Sciences",1,4,"Male",79,3,1,"Laboratory Technician",4,"Single",3068,11864,0,"No",13,3,3,80,0,8,2,2,7,7,3,6,"As youve probably heard Google has great benefits insurance and flexible hours If you want to you can work from home"
59,"No","Travel_Rarely",1324,"Research & Development",3,"Bachelor","Medical",1,3,"Female",81,4,1,"Laboratory Technician",1,"Married",2670,9964,4,"Yes",20,4,1,80,3,12,3,2,1,0,0,0,"Great insurance benefits free food equipment is available whenever you want it to be and there is always whatever you need monitor etc"
30,"No","Travel_Rarely",1358,"Research & Development",24,"Others","Life Sciences",1,4,"Male",67,3,1,"Laboratory Technician",3,"Divorced",2693,13335,1,"No",22,4,2,80,1,1,2,3,1,0,0,0,"Perks and incentives are a major plus I work with a lot of smart people and the people are the best part"
38,"No","Travel_Frequently",216,"Research & Development",23,"Bachelor","Life Sciences",1,4,"Male",44,2,3,"Manufacturing Director",3,"Single",9526,8787,0,"No",21,4,2,80,0,10,2,3,9,7,1,8,"We are at the forefront of new technology and so we are working with very high tech professionals every day"
36,"No","Travel_Rarely",1299,"Research & Development",27,"Bachelor","Medical",1,3,"Male",94,3,2,"Healthcare Representative",3,"Married",5237,16577,6,"No",13,3,2,80,2,17,3,2,7,7,7,7,"Great people to work with here as well as an enjoyable work environment I love to come to work every day"
35,"No","Travel_Rarely",809,"Research & Development",16,"Bachelor","Medical",1,1,"Male",84,4,1,"Laboratory Technician",2,"Married",2426,16479,0,"No",13,3,3,80,1,6,5,3,5,4,0,3,"An amazing spirit of innovation open collaborative atmosphere great employee development and career advancement and exceptional senior management"
29,"No","Travel_Rarely",153,"Research & Development",15,"College","Life Sciences",1,4,"Female",49,2,2,"Laboratory Technician",3,"Single",4193,12682,0,"Yes",12,3,4,80,0,10,3,3,9,5,0,8,"You work with the brightest people in the world who are also very modest and kind Very fun enjoyable flexible atmosphere where you can be yourself Every day I was there I found another reason to love it The campus is very well connected and collegial The food is obviously amazing They are also always inviting speakers and musicians and finding ways to keep you entertained and learning "
31,"No","Travel_Rarely",670,"Research & Development",26,"Others","Life Sciences",1,1,"Male",31,3,1,"Research Scientist",3,"Divorced",2911,15170,1,"No",17,3,4,80,1,5,1,2,5,2,4,3,"Pros The opportunity to change the world Every job position has a very strong impact especially in the emerging Google divisions For example Google Enterprise and Google Earth sales groups Free food Very open minded and diverse group of people No one I met at Google is intellectually incompetent You can bring dogs to work "
34,"No","Travel_Rarely",1346,"Research & Development",19,"College","Medical",1,2,"Male",93,3,1,"Laboratory Technician",4,"Divorced",2661,8758,0,"No",11,3,3,80,1,3,2,3,2,2,1,2,"The best part about working at Google is the number of very smart people constantly around you Great team settings where you can learn and be around the best There are tons of other employee benefits as well such as the free food 3 meals a day cooked by excellent chefs and snacks game areas fooseball volleyball bicycles workout center laundry machines etc"
